Cluster_label	Cluster	Pairwise_similarities
77	11	0.758;0.395;0.809;0.455;0.395;0.809;0.494;0.494;0.455;0.809;0.455;0.383;0.441;0.441;0.383;0.441;0.705;0.587;0.441;0.587;0.441;0.366;0.576;0.692;0.366;0.383;0.383;0.576;0.383;0.366;0.441;0.366;0.784;0.441;0.441;0.441;0.784;0.441;0.576;0.441;0.441;0.441;0.648;0.631;0.441;0.366;0.383;0.383;0.576;0.383;0.366;0.441;0.441;0.441;0.784;0.784;0.479;0.441;0.612;0.441;0.441;0.587;0.441;0.822;0.441;0.784
43	12	0.425
2	13	0.538;0.383;0.538;0.383;0.538;0.383
27	14	0.631;0.834;0.39;0.383;0.441;0.834;0.631;0.441;0.631;0.631;0.586;0.648;0.441;0.631;0.707;0.549;0.631;0.39;0.383;0.441;0.834;0.631;0.441;0.631;0.641;0.39;0.39;0.442;0.713;0.373;0.383;0.383;0.434;0.549;0.366;0.441;0.479;0.441;0.441;0.631;0.441;0.631;0.68;0.631;0.441
91	15	0.395;0.395;0.668;0.395;0.395;0.668;0.441;0.672;0.441;0.441;0.441;0.849;0.849;0.849;0.849;0.849;0.788;0.849;0.867;0.849;0.441
56	16	0.441;0.479;0.441;0.383;0.479;0.441;0.39;0.692;0.576;0.692;0.576;0.678;0.39;0.576;0.692;0.731;0.576;0.39;0.576;0.648;0.648;0.39;0.576;0.576;0.39;0.648;0.39;0.39
18	17	0.395;0.383;0.383;0.383;0.395;0.395;0.395;0.549;0.549;0.648
28	18	0.434;0.383;0.549;0.425;0.648;0.383;0.678;0.441;0.434;0.383;0.366;0.383;0.441;0.549;0.425
46	19	0.441;0.441;0.459;0.841;0.841;0.441;0.441;0.459;0.631;0.441;0.441;0.459;0.441;0.441;0.441;0.459;0.499;0.499;0.841;0.441;0.77
16	20	0.538;0.828;0.441;0.0;0.77;0.752;0.693;0.538;0.441;0.0;0.538;0.801;0.441;0.441;0.0;0.816;0.752;0.816;0.0;0.441;0.441;0.441;0.0;0.0;0.0;0.693;0.816;0.693
7	21	0.441;0.441;0.441;0.441;0.441;0.441
15	22	0.425;0.425;0.678;0.678;0.441;0.457;0.441;0.66;0.441;0.773
39	23	0.704;0.538;0.6;0.656;0.6;0.538;0.707;0.383;0.707;0.538;0.383;0.538;0.383;0.707;0.383
57	24	0.6;0.644;0.441;0.828;0.441;0.441
30	25	0.383;0.834;0.383;0.834;0.434;0.549;0.383;0.434;0.834;0.383
181	26	0.479;0.66;0.66;0.585;0.656;0.576;0.441;0.66;0.441;0.441
4	27	0.705;0.705;0.631;0.395;0.705;0.587;0.395;0.648;0.395;0.395
26	28	0.373;0.442;0.39;0.586;0.441;0.441;0.366;0.441;0.434;0.383
144	29	0.692;0.692;0.383;0.692;0.692;0.383;0.692;0.867;0.692;0.383
204	30	1.0
23	31	0.441;0.441;0.441;0.39;0.479;0.479;0.586;0.538;0.39;0.39
51	32	0.441
1	33	0.609;0.59;0.791
9	34	0.656;0.889;0.479;0.678;0.383;0.479
24	35	0.434;0.549;0.366;0.434;0.801;0.366
81	36	0.0;0.425;0.796;0.0;0.0;0.425
83	37	0.467;0.467;0.467;0.796;0.78;0.735
86	38	0.784;0.784;0.809;0.784;0.809;0.809
95	39	0.441;0.594;0.692;0.434;0.383;0.441;0.383;0.59;0.434;0.383
113	40	0.488;0.479;0.873
147	41	0.692
213	42	0.441
243	43	1.0
3	44	0.441;0.425;0.441;0.425;0.441;0.425
19	45	0.441;0.425;0.425
50	46	0.849;0.849;0.939;0.849;0.366;0.383
61	47	1.0
67	48	0.649;0.629;0.806
74	49	1.0
76	50	0.744;0.724;0.735
85	51	0.66;0.678;0.629;0.432;0.668;0.425
103	52	1.0
134	53	0.0;0.0;0.0;0.834;0.85;0.85
148	54	0.692;0.692;0.692
151	55	0.648;0.441;0.455
160	56	1.0
203	57	0.806;0.649;0.939;0.59;0.806;0.649
288	58	1.0
22	59	1.0
25	60	0.441;0.648;0.434
33	61	1.0
38	62	0.479
44	63	0.0
69	64	0.434
70	65	0.434
79	66	1.0
99	67	1.0
132	68	1.0
142	69	0.692;0.441;0.441
143	70	0.59
146	71	0.383
152	72	1.0
153	73	0.448
168	74	0.538
169	75	0.631;0.441;0.457
176	76	0.366;0.366;0.366
191	77	0.692;0.692;0.692
221	78	0.538
229	79	0.441;0.366;0.383
241	80	0.441
251	81	1.0
254	82	0.366;0.0;0.0
280	83	0.441;0.441;0.479
302	84	1.0
323	85	0.383;0.646;0.441
11	86	0.939
21	87	0.648
49	88	0.0
60	89	0.76
71	90	0.692
73	91	1.0
78	92	0.434
88	93	0.796
96	94	0.809
98	95	0.66
110	96	1.0
116	97	1.0
120	98	0.0
122	99	1.0
123	100	0.576
126	101	0.656
129	102	0.425
130	103	0.441
133	104	0.0
139	105	0.538
156	106	0.903
166	107	0.0
173	108	0.425
175	109	1.0
179	110	0.0
198	111	0.455
201	112	0.735
209	113	1.0
210	114	0.66
214	115	0.441
220	116	1.0
223	117	1.0
224	118	0.434
227	119	0.441
237	120	0.479
256	121	1.0
270	122	1.0
284	123	1.0
301	124	0.784
315	125	1.0
319	126	1.0
320	127	0.724
337	128	0.0
341	129	1.0
344	130	0.0
365	131	0.441
366	132	1.0
368	133	1.0
369	134	0.0
371	135	0.733
378	136	0.0
417	137	0.0
423	138	1.0
444	139	0.441
